X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Description_Clean,Description_Standardized,Needs_Review,Theme_Tags,Place_Locations,Season_key,Episode_key,Producer,Duration,Location 1,Match_Score,Match_Type,Name_core
-124.0550676,44.6227541,0.0,01.04 Seals and Sea Lions,"They are a popular attraction along the coast unless you're in commercial fishing. We explore the controversy. Seals and sea lions on the Oregon coast are a big draw for tourists, and they're protected by federal law. But commercial fishermen say there are too many seals and sea lions, and that they are eating all the good fish.",1.0,4.0,5/7/90,,,,,,,,,"They are a popular attraction along the coast unless you're in commercial fishing. We explore the controversy. Seals and sea lions on the Oregon coast are a big draw for tourists, and they're protected by federal law. But commercial fishermen say there are too many seals and sea lions, and that they are eating all the good fish.","This story explores they are a popular attraction along the coast unless you're in commercial fishing. We explore the controversy. Seals and sea lions on the Oregon coast are a big draw for tourists, and they're protected by federal law. But commercial fishermen say there are too many seals and sea lions, and that they are eating all the good fish.",,Coast & Marine; Industry & Work,Oregon Coast,1.0,4.0,Steve Lobel,00:06:53,,1.0,Description,Seals and Sea Lions
-123.4120694,44.3603822,0.0,01.04 Steam Mill,We visit a functioning steam mill and meet the man who has run the place for more than 50 years. Willamette Valley Oregon,1.0,4.0,5/7/90,,,,,,,,,We visit a functioning steam mill and meet the man who has run the place for more than 50 years.,This story explores we visit a functioning steam mill and meet the man who has run the place for more than 50 years.,,General Interest,Willamette Valley; Oregon,1.0,4.0,Jim Newman,00:06:08,,1.0,Description,Steam Mill
-120.7655852,42.9482098,0.0,01.04 Summer Lake Wildlife Refuge,"Summer Lake Wildlife Management Area is located about 70 miles south of La Pine. The refuge is home to thousands of birds, including snow geese, whistling swans, and over 200 other species. It is a flat alkaline marsh that was set aside in 1944 to provide wildlife habitat as well as hunting opportunities for sportsmen.",1.0,4.0,5/7/90,,,,,,,,,"Summer Lake Wildlife Management Area is located about 70 miles south of La Pine. The refuge is home to thousands of birds, including snow geese, whistling swans, and over 200 other species. It is a flat alkaline marsh that was set aside in 1944 to provide wildlife habitat as well as hunting opportunities for sportsmen.","This story explores summer Lake Wildlife Management Area is located about 70 miles south of La Pine. The refuge is home to thousands of birds, including snow geese, whistling swans, and over 200 other species. It is a flat alkaline marsh that was set aside in 1944 to provide wildlife habitat as well as hunting opportunities for sportsmen.",,Wildlife & Habitat; Rivers & Water; Science & Research,Summer Lake Wildlife Refuge,1.0,4.0,Steve Amen,00:06:53,,1.0,Description,Summer Lake Wildlife Refuge
-124.4488048,42.9954873,0.0,01.05 New River wetlands,"This massive stretch of swampland surrounding The New River provided critical resources to Native American tribes and early settler traders in the 1850s. For historical and environmental reasons, groups like the Nature Conservancy are pushing to restore what is now pasture land to its natural condition. Ranchers, however, who have owned the property for years, are highly opposed to the idea of giving away their prime grazing land.",1.0,5.0,5/14/90,,,,,,,,,"This massive stretch of swampland surrounding The New River provided critical resources to Native American tribes and early settler traders in the 1850s. For historical and environmental reasons, groups like the Nature Conservancy are pushing to restore what is now pasture land to its natural condition. Ranchers, however, who have owned the property for years, are highly opposed to the idea of giving away their prime grazing land.","This story explores this massive stretch of swampland surrounding The New River provided critical resources to Native American tribes and early settler traders in the 1850s. For historical and environmental reasons, groups like the Nature Conservancy are pushing to restore what is now pasture land to its natural condition. Ranchers, however, who have owned the property for years, are highly opposed to the idea of giving away their prime grazing land.",,History & Heritage; Rivers & Water; Agriculture & Ranching,The New River,1.0,5.0,Jim Newman,00:07:12,,1.0,Description,New River wetlands
-124.3219935,42.5959718,0.0,01.05 South Coast Stream Management,"A series of streams along the south coast of Oregon used to be home to healthy salmon runs, but those have been declining for decades. Scientists believe the streams in this area are particularly vulnerable to the erosion that results from clear-cut logging.",1.0,5.0,5/14/90,,,,,,,,,"A series of streams along the south coast of Oregon used to be home to healthy salmon runs, but those have been declining for decades. Scientists believe the streams in this area are particularly vulnerable to the erosion that results from clear-cut logging.","A series of streams along the south coast of Oregon used to be home to healthy salmon runs, but those have been declining for decades. Scientists believe the streams in this area are particularly vulnerable to the erosion that results from clear-cut logging.",,Science & Research; Forestry & Logging; Coast & Marine,South Coast; Oregon,1.0,5.0,Eric Cain,00:10:41,,1.0,Description,South Coast Stream Management
-121.1437422,44.7920073,0.0,01.05 Steelhead Fishing on the Deschutes,We take in a little steelhead fishing while learning about efforts to protect the river. Deschutes River Central Oregon boating,1.0,5.0,5/14/90,,,,,,,,,We take in a little steelhead fishing while learning about efforts to protect the river.,This story explores we take in a little steelhead fishing while learning about efforts to protect the river.,,Outdoor Recreation; Rivers & Water,Deschutes River; Central Oregon; Deschutes; Deschutes River Central; Oregon,1.0,5.0,Steve Amen,00:07:40,,1.0,Description,Steelhead Fishing on the Deschutes
-122.690544,42.1942244,0.0,01.06 Animal Forensic Lab,The most sophisticated animal forensic lab in the nation is the Fish and Wildlife Department's lab in Ashland. The evidence to convict poachers can be obtained months after an animal is killed.,1.0,7.0,5/28/90,,,,,,,,,The most sophisticated animal forensic lab in the nation is the Fish and Wildlife Department's lab in Ashland. The evidence to convict poachers can be obtained months after an animal is killed.,The most sophisticated animal forensic lab in the nation is the Fish and Wildlife Department's lab in Ashland. The evidence to convict poachers can be obtained months after an animal is killed.,No metadata match,Wildlife & Habitat,Ashland,1.0,7.0,,,,,No match,Animal Forensic Lab
-123.9283182,46.0077033,0.0,01.06 Beach Cleanup,We look at the efforts of an Oregon woman who organized a statewide beach cleanup that became the model for other states. Oregon Coast,1.0,6.0,5/21/90,,,,,,,,,We look at the efforts of an Oregon woman who organized a statewide beach cleanup that became the model for other states.,This story explores we look at the efforts of an Oregon woman who organized a statewide beach cleanup that became the model for other states.,,Coast & Marine,Oregon Coast,1.0,6.0,Steve Lobel,00:04:39,,1.0,Description,Beach Cleanup
-121.1047036,45.2402075,0.0,01.06 Mountain Biking,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible. Mountain biking Portland Oregon,1.0,6.0,5/21/90,,,,,,,,,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible.,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible.,,Climate & Environment; Outdoor Recreation; Rivers & Water,Portland; Oregon,1.0,6.0,Steve Amen,00:05:04,,1.0,Description,Mountain Biking
-123.1052537,44.0053484,0.0,01.06 Mountain Biking,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible. Mountain biking Portland Oregon,1.0,6.0,5/21/90,,,,,,,,,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible.,The sport is being attacked because irresponsible mountain biking damages the environment. Experts show us how to ride with as little impact as possible.,,Climate & Environment; Outdoor Recreation; Rivers & Water,Portland; Oregon,1.0,6.0,Steve Amen,00:05:04,,1.0,Description,Mountain Biking
-124.0880833,44.6559374,0.0,01.06 Oceans of Trash,"Livelihood of fisherman, highway for sailers, dumping ground for all. The ocean is a vital resource for human civilization, and yet we pollute it with every kind of trash imaginable. Such a vast resource, the ocean used to seem limitless, causing an ""out of sight, out of mind"" mentality for trash dumping. Now the Port of Newport has set up one of the first sites in the country for recycling garbage once thrown overboard by ocean going vessels.",1.0,6.0,5/21/90,,,,,,,,,"Livelihood of fisherman, highway for sailers, dumping ground for all. The ocean is a vital resource for human civilization, and yet we pollute it with every kind of trash imaginable. Such a vast resource, the ocean used to seem limitless, causing an ""out of sight, out of mind"" mentality for trash dumping. Now the Port of Newport has set up one of the first sites in the country for recycling garbage once thrown overboard by ocean going vessels.","This story explores livelihood of fisherman, highway for sailers, dumping ground for all. The ocean is a vital resource for human civilization, and yet we pollute it with every kind of trash imaginable. Such a vast resource, the ocean used to seem limitless, causing an ""out of sight, out of mind"" mentality for trash dumping. Now the Port of Newport has set up one of the first sites in the country for recycling garbage once thrown overboard by ocean going vessels.",,Coast & Marine; Outdoor Recreation,Newport; OR,1.0,6.0,Steve Lobel,00:06:03,Newport; OR,1.0,Description,Oceans of Trash
-122.187445,46.2650518,0.0,01.07 Elk of Mount St. Helens,"Along with their forest home, many elk were wiped out by the eruption of Mount St. Helens. Now they are grazing on the new grassy meadows created by collapsing mountain. These closely-watched elk seem to be bouncing back.",1.0,7.0,5/28/90,,,,,,,,,"Along with their forest home, many elk were wiped out by the eruption of Mount St. Helens. Now they are grazing on the new grassy meadows created by collapsing mountain. These closely-watched elk seem to be bouncing back.","This story explores along with their forest home, many elk were wiped out by the eruption of Mount St. Helens. Now they are grazing on the new grassy meadows created by collapsing mountain. These closely-watched elk seem to be bouncing back.",,Forestry & Logging; Wildlife & Habitat,Mount St. Helens; Mt St Helens,1.0,7.0,Steve Amen,00:05:15,Mt St Helens,1.0,Description,Elk of Mount St. Helens
-118.2667956,45.4042114,0.0,01.07 Forest of the Future,"Join Mike Wisdom, a US Forest Service biologist as he explains this long-term comprehensive study of elk and deer set in the Blue Mountains near La Grande, Oregon. The study looks at the impact of cattle and rangeland, motorized traffic and roads and timber production on the health of elk and deer herds.",1.0,7.0,5/28/90,,,,,,,,,"Join Mike Wisdom, a US Forest Service biologist as he explains this long-term comprehensive study of elk and deer set in the Blue Mountains near La Grande, Oregon. The study looks at the impact of cattle and rangeland, motorized traffic and roads and timber production on the health of elk and deer herds.","This story explores join Mike Wisdom, a US Forest Service biologist as he explains this long-term comprehensive study of elk and deer set in the Blue Mountains near La Grande, Oregon. The study looks at the impact of cattle and rangeland, motorized traffic and roads and timber production on the health of elk and deer herds.",,Forestry & Logging; Wildlife & Habitat; Agriculture & Ranching,Blue Mountains; La Grande; Oregon,1.0,7.0,Steve Amen (or Jeff Douglas),00:06:27,Blue Mountains,0.988,Description,Forest of the Future
-123.2799511,44.5645719,0.0,01.07 In Search of Sasquatch,"A plaster cast of a footprint first convinced Grover Krantz, a visiting professor of anthropology at Oregon State University, that there really is a bigfoot. Since then he's met over 70 people who claim to have seen Sasquatch, and over half of their stories, he says, are completely credible.",1.0,7.0,5/28/90,,,,,,,,,"A plaster cast of a footprint first convinced Grover Krantz, a visiting professor of anthropology at Oregon State University, that there really is a bigfoot. Since then he's met over 70 people who claim to have seen Sasquatch, and over half of their stories, he says, are completely credible.","A plaster cast of a footprint first convinced Grover Krantz, a visiting professor of anthropology at Oregon State University, that there really is a bigfoot. Since then he's met over 70 people who claim to have seen Sasquatch, and over half of their stories, he says, are completely credible.",,Communities & Culture,Oregon,1.0,7.0,Jim Newman,00:03:03,,1.0,Description,In Search of Sasquatch
-122.7981629,44.801424,0.0,01.07 In Search of Sasquatch -- Chris Johnson,"Chris Johnson lives in rural Stayton, Oregon and spends a lot of time bow hunting in the misty Cascade Mountains. One evening he saw a creature with a furry black face. He returns to the site and tells his story, which is similar to tales of Sasquatch that go back hundreds of years.",1.0,8.0,6/4/90,,,,,,,,,"Chris Johnson lives in rural Stayton, Oregon and spends a lot of time bow hunting in the misty Cascade Mountains. One evening he saw a creature with a furry black face. He returns to the site and tells his story, which is similar to tales of Sasquatch that go back hundreds of years.","This story explores chris Johnson lives in rural Stayton, Oregon and spends a lot of time bow hunting in the misty Cascade Mountains. One evening he saw a creature with a furry black face. He returns to the site and tells his story, which is similar to tales of Sasquatch that go back hundreds of years.",No metadata match,Communities & Culture,Oregon; Cascade Mountains; Stayton,1.0,8.0,,,,,No match,In Search of Sasquatch -- Chris Johnson
-122.7398689,42.1844723,0.0,01.08 Logging with Horses,It's back to the future for one environmentally-minded logging operation near Ashland. This timber owner cuts trees selectively to improve the health of the forest. He uses horses to haul out the logs because they have less impact on the land than heavy equipment.,1.0,8.0,6/4/90,,,,,,,,,It's back to the future for one environmentally-minded logging operation near Ashland. This timber owner cuts trees selectively to improve the health of the forest. He uses horses to haul out the logs because they have less impact on the land than heavy equipment.,This story explores it's back to the future for one environmentally-minded logging operation near Ashland. This timber owner cuts trees selectively to improve the health of the forest. He uses horses to haul out the logs because they have less impact on the land than heavy equipment.,,Forestry & Logging; Agriculture & Ranching; Climate & Environment,Ashland; near Ashland; Oregon,1.0,8.0,Steve Amen,00:06:35,near Ashland; Oregon,1.0,Description,Logging with Horses
-116.7262223,45.1624621,0.0,01.08 Mail Delivery in Hells Canyon,"Where the Snake River runs through Hells Canyon in northeastern Oregon, a weekly mail boat delivers more than just letters. Some ranchers along the river don't have phones or boats of their own, and the mail boat is their only contact with the outside world. The boat delivers groceries and supplies, and even ferries pets to the vet. In summer tourists come along for the ride, but in winter it's a dangerous ride.",1.0,8.0,6/4/90,,,,,,,,,"Where the Snake River runs through Hells Canyon in northeastern Oregon, a weekly mail boat delivers more than just letters. Some ranchers along the river don't have phones or boats of their own, and the mail boat is their only contact with the outside world. The boat delivers groceries and supplies, and even ferries pets to the vet. In summer tourists come along for the ride, but in winter it's a dangerous ride.","This story explores where the Snake River runs through Hells Canyon in northeastern Oregon, a weekly mail boat delivers more than just letters. Some ranchers along the river don't have phones or boats of their own, and the mail boat is their only contact with the outside world. The boat delivers groceries and supplies, and even ferries pets to the vet. In summer tourists come along for the ride, but in winter it's a dangerous ride.",,Agriculture & Ranching; Rivers & Water,Hells Canyon; Snake River; Oregon; Eastern Oregon; Hell's Canyon,1.0,8.0,Steve Lobel,00:04:02,Snake River; Hell's Canyon,1.0,Description,Mail Delivery in Hells Canyon
-122.807128,42.4695236,0.0,01.09 Dog Sled Racers,"We follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.",1.0,8.0,6/4/90,,,,,,,,,"We follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.","This story explores we follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.",No metadata match,Coast & Marine; Wildlife & Habitat,Oregon Coast; Alaska; Eagle Point; Oregon,1.0,8.0,,,,,No match,Dog Sled Racers
-124.2244273,43.5956944,0.0,01.09 Dog Sled Racers,"We follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.",1.0,9.0,6/11/90,,,,,,,,,"We follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.","This story explores we follow an Eagle Point, Oregon man training for the Iditarod on the Oregon coast then in Alaska, where the conditions are primitive.",,Coast & Marine; Wildlife & Habitat,Oregon Coast; Alaska; Eagle Point; Oregon; South Coast,1.0,9.0,Steve Lobel,00:07:16,South Coast,1.0,Description,Dog Sled Racers
-115.3135272,35.3448496,0.0,01.09 Land Surfing,"At the International Landsailing Championship in the California desert, a father and son team from Portland test out their new land yacht. While traditional land yachts look like windsurfing boards with wheels, theirs has a solid metal wing in place of a cloth sail.",1.0,9.0,6/11/90,,,,,,,,,"At the International Landsailing Championship in the California desert, a father and son team from Portland test out their new land yacht. While traditional land yachts look like windsurfing boards with wheels, theirs has a solid metal wing in place of a cloth sail.","This story explores at the International Landsailing Championship in the California desert, a father and son team from Portland test out their new land yacht. While traditional land yachts look like windsurfing boards with wheels, theirs has a solid metal wing in place of a cloth sail.",,Communities & Culture,California; Portland,1.0,9.0,Jim Newman,00:05:51,,1.0,Description,Land Surfing
-124.060577,44.7443404,0.0,01.09 Surfing Oregon,"Gray skies, windy weather, and cold water do not typically draw flocks of people to the beach. With a pure love of surfing, however, these hearty groups of men are willing to brave the elements in order to enjoy the waves of the Oregon Coast. They may not be cheered on by sun bathers in bikinis, but the swells themselves are enough to keep Oregon surfers coming back for more.",1.0,9.0,6/11/90,,,,,,,,,"Gray skies, windy weather, and cold water do not typically draw flocks of people to the beach. With a pure love of surfing, however, these hearty groups of men are willing to brave the elements in order to enjoy the waves of the Oregon Coast. They may not be cheered on by sun bathers in bikinis, but the swells themselves are enough to keep Oregon surfers coming back for more.","This story explores gray skies, windy weather, and cold water do not typically draw flocks of people to the beach. With a pure love of surfing, however, these hearty groups of men are willing to brave the elements in order to enjoy the waves of the Oregon Coast. They may not be cheered on by sun bathers in bikinis, but the swells themselves are enough to keep Oregon surfers coming back for more.",,Coast & Marine; Outdoor Recreation,Oregon Coast,1.0,9.0,Steve Lobel,00:05:16,,0.996,Description,Surfing Oregon
-125.1542672,45.5863939,0.0,01.09 Underwater Volcanic Badlands,"We travel 5,000 feet under the Pacific Ocean for a look at research into volcanic activity past and present. The seismic forces that shaped Oregon's coast are still alive miles offshore, where an underwater mountain range remains a volcanic hotspot.",1.0,9.0,6/11/90,,,,,,,,,"We travel 5,000 feet under the Pacific Ocean for a look at research into volcanic activity past and present. The seismic forces that shaped Oregon's coast are still alive miles offshore, where an underwater mountain range remains a volcanic hotspot.","This story explores we travel 5,000 feet under the Pacific Ocean for a look at research into volcanic activity past and present. The seismic forces that shaped Oregon's coast are still alive miles offshore, where an underwater mountain range remains a volcanic hotspot.",,Coast & Marine; Geology & Natural History; Science & Research,Pacific Ocean; Oregon; Sea Floor,1.0,9.0,Jim Newman,00:05:06,Sea Floor,1.0,Description,Underwater Volcanic Badlands
-123.9782877,46.185629,0.0,01.10 Horse Soldier Reenactment,"They eat, sleep and drill just like the horse soldiers of the 1870s. This group of men make history come alive, right down to the brass buttons.",1.0,10.0,6/25/90,,,,,,,,,"They eat, sleep and drill just like the horse soldiers of the 1870s. This group of men make history come alive, right down to the brass buttons.","This story explores they eat, sleep and drill just like the horse soldiers of the 1870s. This group of men make history come alive, right down to the brass buttons.",,Agriculture & Ranching; History & Heritage,,1.0,10.0,John Daley,00:07:45,,1.0,Description,Horse Soldier Reenactment
-122.6366461,45.5014132,0.0,01.10 Indoor Rock Gym,A rock gym in Southeast Portland makes it possible for rock climbers to practice at lunch or after work. It's also a great way for beginners to practice rock climbing in a controlled environment.,1.0,10.0,6/25/90,,,,,,,,,A rock gym in Southeast Portland makes it possible for rock climbers to practice at lunch or after work. It's also a great way for beginners to practice rock climbing in a controlled environment.,A rock gym in Southeast Portland makes it possible for rock climbers to practice at lunch or after work. It's also a great way for beginners to practice rock climbing in a controlled environment.,,Climate & Environment; Outdoor Recreation,Portland; SE Portland,1.0,10.0,Don Gedney,00:03:31,SE Portland,1.0,Description,Indoor Rock Gym
-124.0169757,44.6176892,0.0,01.10 Scaring Fish,"A rather unusual research project scares hatchery salmon, which lead a rather sheltered life, to prepare them for their release and the dangers they'll face in the open ocean.",1.0,10.0,6/25/90,,,,,,,,,"A rather unusual research project scares hatchery salmon, which lead a rather sheltered life, to prepare them for their release and the dangers they'll face in the open ocean.","A rather unusual research project scares hatchery salmon, which lead a rather sheltered life, to prepare them for their release and the dangers they'll face in the open ocean.",,Wildlife & Habitat; Coast & Marine; Science & Research,Marine Science Center; Yaquina Bay,1.0,10.0,Jim Newman,00:04:55,Marine Science Center; Yaquina Bay,1.0,Description,Scaring Fish
-123.4044079,42.4466076,0.0,01.10 Wildlife Images,"Dave Siddon runs Wildlife Images, an animal care compound that provides medical care and shelter for wounded and orphaned animals. The compound is home to everything from a vulture to a cougar.",1.0,10.0,6/25/90,,,,,,,,,"Dave Siddon runs Wildlife Images, an animal care compound that provides medical care and shelter for wounded and orphaned animals. The compound is home to everything from a vulture to a cougar.","This story explores dave Siddon runs Wildlife Images, an animal care compound that provides medical care and shelter for wounded and orphaned animals. The compound is home to everything from a vulture to a cougar.",,Wildlife & Habitat,Grants Pass,1.0,10.0,Jim Newman,00:07:08,Grants Pass,1.0,Description,Wildlife Images
-121.3789169,44.5834169,0.0,02.01 Balancing Rocks,"Field Guide heads to a remote, unmarked spot overlooking Lake Billy Chinook to find a geologic marvel. Covering a hillside, huge rock pillars are topped by a series of large balancing rocks.",2.0,1.0,1/14/91,,,,,,,,,"Field Guide heads to a remote, unmarked spot overlooking Lake Billy Chinook to find a geologic marvel. Covering a hillside, huge rock pillars are topped by a series of large balancing rocks.","This story explores field Guide heads to a remote, unmarked spot overlooking Lake Billy Chinook to find a geologic marvel. Covering a hillside, huge rock pillars are topped by a series of large balancing rocks.",,Geology & Natural History; Rivers & Water,Lake Billy Chinook,2.0,1.0,Steve Amen,00:04:55,Lake Billy Chinook,1.0,Description,Balancing Rocks
